"","year","admin","region","status","ptcp_rate","cspt_ntd","ctgp_per1wp","training_hr","pct_budget","pctc_per1wp"
"1",2017,"新北市","northern","municipality",0.00811,29.77,0.1347,NA,1.11,2.574
"2",2017,"台北市","northern","municipality",0.01849,NA,0.12,400,1.87,6.101
"3",2017,"桃園市","northern","municipality",0.01143,19.57,0.2052,NA,1.61,1.261
"4",2017,"台中市","central","municipality",0.00997,14.83,0.1019,534,1.08,2.117
"5",2017,"台南市","southern","municipality",0.01155,12.24,0.176,1144,NA,1.94
"6",2017,"高雄市","southern","municipality",0.01386,12.76,0.1505,918,1.24,2.586
"7",2017,"宜蘭縣","northern","county",0.01305,8.28,0.4008,606,2.44,3.373
"8",2017,"新竹縣","northern","county",0.00653,30.87,0.0942,801,1.31,1.576
"9",2017,"苗栗縣","central","county",0.00579,6.94,0.074,103,2.91,1.571
"10",2017,"彰化縣","central","county",0.00733,6.83,0.131,1618,0.76,2.105
"11",2017,"南投縣","central","county",0.01604,8.59,0.3133,2761,1.07,3.054
"12",2017,"雲林縣","central","county",0.02153,6.62,0.2491,335,1.27,3.983
"13",2017,"嘉義縣","southern","county",0.00643,4.78,0.2113,427,2.57,2.641
"14",2017,"屏東縣","southern","county",0.00344,5.57,0.1723,757,1,2.362
"15",2017,"台東縣","eastern","county",0.01934,24.19,0.5648,1058,1.41,NA
"16",2017,"花蓮縣","eastern","county",0.01406,17.05,0.6075,1063,1.45,3.797
"17",2017,"澎湖縣","offshore","county",0.00366,4.81,NA,493,3.04,2.883
"18",2017,"基隆市","northern","city",0.00449,8.27,0.3688,442,1.59,2.611
"19",2017,"新竹市","northern","city",0.00873,29.18,0.3808,186,2.07,1.179
"20",2017,"嘉義市","southern","city",0.00469,12.17,0.219,732,3.02,4.529
"21",2017,"金門縣","offshore","county",0.00527,6,0.3638,324,NA,2.037
"22",2017,"連江縣","offshore","county",0.0038,4.38,NA,68,NA,3.882
"23",2016,"新北市","northern","municipality",0.00804,29.65,0.1332,NA,1.09,2.488
"24",2016,"台北市","northern","municipality",0.02077,NA,0.1176,679,1.88,6.165
"25",2016,"桃園市","northern","municipality",0.01252,19.22,0.2063,1377,1.56,0.931
"26",2016,"台中市","central","municipality",0.0099,14.08,0.1395,942,1.22,1.933
"27",2016,"台南市","southern","municipality",0.01123,12.4,0.2805,1095,2.02,1.893
"28",2016,"高雄市","southern","municipality",0.01424,13.15,0.1522,2056,1.23,2.396
"29",2016,"宜蘭縣","northern","county",0.01309,7.97,0.4,2752,2.2,3.781
"30",2016,"新竹縣","northern","county",0.00735,29.72,0.0932,801,1.4,1.918
"31",2016,"苗栗縣","central","county",0.0036,6.94,0.0751,198,2.96,1.556
"32",2016,"彰化縣","central","county",0.00688,6.49,0.1266,NA,0.9,2.098
"33",2016,"南投縣","central","county",0.01408,8.98,0.3147,NA,1.12,2.989
"34",2016,"雲林縣","central","county",0.0026,6.43,0.2432,775,1.07,3.814
"35",2016,"嘉義縣","southern","county",0.00628,5.12,0.2038,676,1.99,2.523
"36",2016,"屏東縣","southern","county",0.00375,5.51,0.1615,38,0.48,2.333
"37",2016,"台東縣","eastern","county",0.01677,39.46,0.5118,495,1.04,NA
"38",2016,"花蓮縣","eastern","county",0.01658,20.74,0.4986,2948,1.28,3.264
"39",2016,"澎湖縣","offshore","county",0.00383,4.81,NA,854,2,2.615
"40",2016,"基隆市","northern","city",0.00403,8.6,0.3682,404,1.24,2.687
"41",2016,"新竹市","northern","city",0.0103,31.91,0.3864,47,1.4,3.956
"42",2016,"嘉義市","southern","city",0.00623,12.27,0.2112,400,2.54,4.224
"43",2016,"金門縣","offshore","county",0.00515,5,0.1998,170,2.05,1.998
"44",2016,"連江縣","offshore","county",0.00484,5.72,NA,115,3.13,NA
"45",2015,"新北市","northern","municipality",0.00761,30.84,0.134,1309,1.12,2.375
"46",2015,"台北市","northern","municipality",0.02072,NA,0.1216,1334,3.13,5.875
"47",2015,"桃園市","northern","municipality",0.00409,19.92,0.2094,69,1.57,1.662
"48",2015,"台中市","central","municipality",0.01229,14.39,0.1399,NA,1.05,1.789
"49",2015,"台南市","southern","municipality",0.0114,13.76,0.2641,2786,1.97,1.835
"50",2015,"高雄市","southern","municipality",0.01554,14.8,0.1526,1468,1.57,2.292
"51",2015,"宜蘭縣","northern","county",0.01432,8.03,0.3929,424,2.15,3.58
"52",2015,"新竹縣","northern","county",0.00846,26.41,0.0941,35,1.24,1.79
"53",2015,"苗栗縣","central","county",0.00599,6.74,0.0745,NA,2.46,1.507
"54",2015,"彰化縣","central","county",0.00719,6.16,0.1257,2422,0.65,1.994
"55",2015,"南投縣","central","county",0.00931,8.28,0.3101,669,0.79,2.826
"56",2015,"雲林縣","central","county",0.00269,6.55,0.2401,245,1.01,3.602
"57",2015,"嘉義縣","southern","county",0.0085,5,0.2001,173,1.72,2.405
"58",2015,"屏東縣","southern","county",0.00232,5.54,0.1605,NA,0.16,2.235
"59",2015,"台東縣","eastern","county",0.01169,NA,0.472,96,0.17,NA
"60",2015,"花蓮縣","eastern","county",0.01277,27.06,0.488,18,0.87,3.133
"61",2015,"澎湖縣","offshore","county",0.00385,5.2,NA,430,2.74,2.444
"62",2015,"基隆市","northern","city",0.00401,7.74,0.3762,243,1.12,2.634
"63",2015,"新竹市","northern","city",0.01436,29.84,0.387,181,2.1,3.87
"64",2015,"嘉義市","southern","city",0.00602,13.09,0.2108,75,1.89,3.884
"65",2015,"金門縣","offshore","county",0.00329,5.57,0.2033,23,1.53,1.807
"66",2015,"連江縣","offshore","county",0.0059,5.13,NA,0,2.82,NA
"67",2014,"新北市","northern","municipality",0.00828,31.09,0.1427,NA,1.48,2.223
"68",2014,"台北市","northern","municipality",0.02068,NA,0.1343,929,2.26,5.247
"69",2014,"桃園市","northern","municipality",0.00809,21.16,0.2152,329,1.24,1.496
"70",2014,"台中市","central","municipality",0.00997,15.14,0.1419,42,1.13,1.721
"71",2014,"台南市","southern","municipality",0.0109,13.23,0.2595,1167,2.28,1.788
"72",2014,"高雄市","southern","municipality",0.01343,15.12,0.1486,2649,2.05,2.177
"73",2014,"宜蘭縣","northern","county",0.0156,8.38,0.3945,1297,NA,3.488
"74",2014,"新竹縣","northern","county",0.01063,26.19,0.0911,210,1.24,1.693
"75",2014,"苗栗縣","central","county",0.00766,6.74,0.0741,178,2.85,1.481
"76",2014,"彰化縣","central","county",0.00885,6.43,0.1231,1361,1.02,1.944
"77",2014,"南投縣","central","county",0.02414,7.94,0.3072,1112,0.85,2.761
"78",2014,"雲林縣","central","county",0.00213,6.03,0.2368,220,1.29,3.445
"79",2014,"嘉義縣","southern","county",0.00684,4.64,0.2001,NA,1.56,2.306
"80",2014,"屏東縣","southern","county",0.00208,5.58,0.158,28,0.19,2.17
"81",2014,"台東縣","eastern","county",NA,NA,0.441,5,1.31,NA
"82",2014,"花蓮縣","eastern","county",0.01269,26.79,0.4649,86,0.87,2.939
"83",2014,"澎湖縣","offshore","county",0.00335,5.07,NA,1212,2.59,2.359
"84",2014,"基隆市","northern","city",0.01249,7.28,0.3726,276,0.8,2.52
"85",2014,"新竹市","northern","city",0.01535,28.2,0.382,2715,1.5,3.727
"86",2014,"嘉義市","southern","city",0.00827,11.65,0.2104,1030,1.94,3.802
"87",2014,"金門縣","offshore","county",0.00267,3.91,0.2114,424,1.68,1.801
"88",2014,"連江縣","offshore","county",0.0052,6.06,NA,126,3.22,NA
"89",2013,"新北市","northern","municipality",0.00773,31.23,0.1446,NA,1.21,2.073
"90",2013,"台北市","northern","municipality",0.02169,NA,0.1359,647,1.78,4.917
"91",2013,"桃園市","northern","municipality",0.00635,16.04,0.1621,2117,0.84,0.896
"92",2013,"台中市","central","municipality",0.01319,21.41,0.206,38,1.03,2.156
"93",2013,"台南市","southern","municipality",0.00682,9.14,0.1752,863,1.35,1.094
"94",2013,"高雄市","southern","municipality",NA,NA,NA,1280,1.58,NA
"95",2013,"宜蘭縣","northern","county",0.00302,1.83,0.0876,239,2.13,0.651
"96",2013,"新竹縣","northern","county",NA,25.08,0.0905,2453,1.06,1.697
"97",2013,"苗栗縣","central","county",0.0058,6.78,0.0743,301,3.06,1.432
"98",2013,"彰化縣","central","county",0.00934,6.03,0.1227,NA,1.65,1.852
"99",2013,"南投縣","central","county",0.0122,7.52,0.3093,1099,0.77,2.629
"100",2013,"雲林縣","central","county",0.00189,5.41,0.2345,241,1.26,1.427
"101",2013,"嘉義縣","southern","county",0.00488,4.17,0.1984,284,1.45,2.249
"102",2013,"屏東縣","southern","county",0.00255,5.56,0.1561,22,1.65,2.124
"103",2013,"台東縣","eastern","county",0.00968,31.27,0.4092,133,1.14,5.916
"104",2013,"花蓮縣","eastern","county",0.00403,20.39,0.4343,1108,0.69,2.785
"105",2013,"澎湖縣","offshore","county",0.00366,5.29,NA,1256,2.11,2.59
"106",2013,"基隆市","northern","city",0.00996,8.03,0.3708,72,0.85,2.881
"107",2013,"新竹市","northern","city",0.0142,28.4,0.3757,375,1.07,5.951
"108",2013,"嘉義市","southern","city",0.00615,11.24,0.2104,730,1.67,4.504
"109",2013,"金門縣","offshore","county",0.00228,3.42,0.232,16,3.15,1.823
"110",2013,"連江縣","offshore","county",0.00164,4.88,NA,83,2.88,NA
"111",2012,"新北市","northern","municipality",0.00734,30.96,0.1518,NA,1.23,2.011
"112",2012,"台北市","northern","municipality",0.01994,NA,0.1395,205,1.82,4.609
"113",2012,"桃園市","northern","municipality",0.00484,15.29,0.1669,317,0.56,0.842
"114",2012,"台中市","central","municipality",0.01459,20.57,0.2046,196,1.03,1.887
"115",2012,"台南市","southern","municipality",0.00617,9.05,0.1753,NA,1.19,1.018
"116",2012,"高雄市","southern","municipality",NA,NA,NA,NA,1.7,NA
"117",2012,"宜蘭縣","northern","county",0.00301,1.78,0.0887,142,2.07,0.626
"118",2012,"新竹縣","northern","county",0.00504,26.54,0.0782,NA,1.2,1.794
"119",2012,"苗栗縣","central","county",0.01872,6.72,0.0745,20,2.37,1.383
"120",2012,"彰化縣","central","county",0.01655,6.32,0.1154,1374,1.47,1.823
"121",2012,"南投縣","central","county",0.01157,8.01,0.2826,1475,0.7,2.48
"122",2012,"雲林縣","central","county",0.00164,5.36,0.2307,938,1.02,1.322
"123",2012,"嘉義縣","southern","county",0.00306,4.05,0.1967,76,1.6,2.23
"124",2012,"屏東縣","southern","county",0.00512,5.16,0.1549,1293,0.88,2.062
"125",2012,"台東縣","eastern","county",0.00997,23.68,0.3845,776,0.97,5.834
"126",2012,"花蓮縣","eastern","county",0.00463,18.51,0.364,583,0.67,2.685
"127",2012,"澎湖縣","offshore","county",0.00338,5.97,NA,1301,2.25,2.327
"128",2012,"基隆市","northern","city",0.00316,6.26,0.3739,1135,0.98,2.864
"129",2012,"新竹市","northern","city",0.00586,26.43,0.3835,1056,1.41,5.881
"130",2012,"嘉義市","southern","city",0.00615,11.73,0.2138,1244,1.73,4.424
"131",2012,"金門縣","offshore","county",0.00138,3.3,0.221,180,2.5,2.033
"132",2012,"連江縣","offshore","county",0.00557,4.91,NA,37,3.2,NA
